昵称,地区,时间,评论
NewX God,广西,2024-07-22 17:40:10,雷军如果你用这个照片当头像，我就买辆小米su7[OK]
422公主🥀,江西,2024-07-22 21:22:53,大哥，接我回去吧，我是你失散的二弟，我叫雷赘[比心]
消失的狐狸🦊,天津,2024-09-03 16:57:06,等我攒够钱我就买Xiaomi su7
温水煮青呱,广东,2024-07-22 12:59:12,雷总开个小米科技大学吧，把大学分数线打下来[看]
玲儿,广西,2024-07-22 14:37:07,爸！吃午饭了没
NewX God,广西,2024-07-22 17:40:10,雷军如果你用这个照片当头像，我就买辆小米su7[OK]
422公主🥀,江西,2024-07-22 21:22:53,大哥，接我回去吧，我是你失散的二弟，我叫雷赘[比心]
消失的狐狸🦊,天津,2024-09-03 16:57:06,等我攒够钱我就买Xiaomi su7
温水煮青呱,广东,2024-07-22 12:59:12,雷总开个小米科技大学吧，把大学分数线打下来[看]
玲儿,广西,2024-07-22 14:37:07,爸！吃午饭了没
望月听雪,辽宁,2024-07-22 19:22:25,军儿，如果你用这个照片当头像，我就买一辆小米su7[OK]
ㅤㅤㅤ   ㅤㅤ,新疆,2024-07-22 13:44:52,"中国最厉害的军队排名:
1.空军
2.海军
3.陆军
4.雷军"
茉丽,安徽,2024-07-22 13:14:40,纠结要买哪个颜色，大家真心给个建议吧！
俏菇凉吖✨,浙江,2024-07-22 21:39:42,雷总：刚刚试了你教的飘移方法，飘到这里去了，应该怎么解决[尬笑][尬笑]
@泡沫,江西,2024-07-23 21:32:05,为什么当代年轻人对雷军的评价那么高？网友总结，一、中国籍，二、人没跑，也没有欠一屁股债，三、钱没有捐给国外的学校，而是捐给了自己母校武汉大学，四、没有乱搞男女关系，老婆还是初恋，五、从不教年轻人做事，反而认真听取年轻人的建议，六、头不秃的180➕程序大佬，简直就是现实版的肖奈，7、没有一点架子，在小米汽车交付仪式上跟粉丝握手、签名合影，千亿总裁亲自给粉丝开车门，连小说都不敢这么写。最后也是最重要的一点，有一首唱跳rap的流行歌曲Are you  ok 击败了99%的企业家以及99%的新生代歌手。
Li-小池.,广东,2024-07-22 15:25:27,雷总 如果你用这个照片当头像，我现在就买一辆小米su7[不你不想]
天线祖爷,四川,2024-07-22 22:06:40,"雷总您好：
很喜欢小米和您，但针对本次发布的小米耳机buds5，有几点使用体验想和您反馈：
1、电流滋滋声明显。多方搜索发现该问题已经不是偶发，而是出现在buds4等多款存量产品上，大致解决方案为关闭LHDC，但可能因为我使用的不是小米手机，并未找到该选项。
2、新品上市是否应该软硬件同时上线。因未找到LHDC选项，我便下载了小米耳机APP，APP作为跨生态和平台的中间件，我想上面应有这个选项。下载后才发现，APP内支持的型号竟然没有buds5。
3、作为一名新晋米粉，深深被您的真诚和小米集团的技术能力所吸引，虽然之前仅用过红米耳机，但看到buds5的颜值和功能后选择果断下单，即使它是我原耳机价格的5-6倍。作为一款中等价位的耳机，我认为它的做工和体验不应仅止步于此，更不是国货之光的应有水平。
最后，祝您和小米集团蒸蒸日上，望采纳！"
风车,四川,2024-07-22 14:16:33,这种教学还是少拍，像我这种比较爱模仿的就很惨[微笑]
能力越小责任越少,四川,2024-07-22 14:23:45,博主越来越好了，现在都开始接广告了[赞][赞]
念念,湖南,2024-07-22 16:04:41,雷总，他为什么抱的那么紧啊[九转大肠][捂脸]
比巴巴卜,河南,2024-07-22 12:11:50,雷总能不能做一个人体工学椅，市面上好点的太贵了[流泪][流泪][流泪]
无梦为安,福建,2024-07-23 14:03:17,军儿～车上的空调让我来做[嘿哈]
天际线-,新疆,2024-07-22 15:46:14,
77,江西,2024-07-22 12:20:31,雷总，小米卫生巾求求了[苦涩]
狂踹瘸子那条好🦵腿🦵,浙江,2024-08-04 12:35:43,飘了[呲牙]
韭菜he子,广东,2024-07-23 16:59:30,在校期间给世界500强ceo提建议，且建议被采纳。
高育良,江苏,2024-07-22 14:47:04,中国有 海军 陆军 空军 雷军
E先生,IP未知,2024-07-24 15:42:02,带姐飘一圈好不好
鄭在暴富🎾,广东,2024-07-22 12:54:27,《飞驰人生3》----主演：雷军[调皮]
壹贰壹💞,湖南,2024-07-22 12:18:55,雷总，什么时候上映？[流泪][流泪][流泪]
若琳,广西,2024-07-25 13:25:10,"雷总:
可以不可以把耳蜗和助听器的价格打下来  
市面上的价格太贵了，普通人根本用不起 
特别是特殊缺陷的宝宝和特殊的贫困家庭"
小黄人,广东,2024-08-31 16:47:41,下次我去试驾小米苏七我也来飘一个
薇子吖,辽宁,2024-07-22 13:44:18,又怀念我漂移的那些岁月了[看]
丽州下小雨,浙江,2024-07-23 11:16:13,"雷军：卖一辆车很难吗？
销售：…"
禾子,河北,2024-07-22 16:14:56,卫生巾太贵了，让雷总做小米卫生巾，把价格打下来
22893751424,广东,2024-07-22 14:11:40,军儿，如果你用这个照片当头像，我就买一辆小米su7[OK]
中国反内卷委员会主任,北京,2024-07-22 20:01:11,等车卖完，这将是我最后一次创业，小米军工
柒悦麻麻吖,云南,2024-07-22 20:21:11,想来一把已读乱回  你们那热不热啊[微笑][微笑][微笑][微笑]
叶子灰吖📸,江西,2024-07-22 12:35:59,爸爸中午好，吃饭了吗
去墨脱看雪,江西,2024-07-22 12:15:37,爸
喜欢海边喜欢浪,江苏,2024-07-22 16:13:19,用这个头像，我马上下单
天书,福建,2024-07-22 12:08:36,[看][看][看]《飞驰人生3》----主演：雷军[赞][赞][赞]
无聊冲浪的,广东,2024-07-22 12:15:34,许愿[舔屏]下个月提车
用辣条欺负你,广西,2024-07-26 20:40:48,小米给我设计的这个壁纸怎么样
倔强的张张吖,四川,2024-07-22 13:21:02,坐等，啥时候上映[呲牙]
@影儿Soul❤️,安徽,2024-07-25 01:24:07,熬夜还得是我安徽[灵机一动]
斗🐟的鱼,江苏,2024-07-22 13:10:39,爸爸
都还在,江苏,2024-08-31 16:09:25,哪条路，可以漂移？
亭若松,广东,2024-07-22 12:58:51,董：“军儿，小米su7的空调给姐做吧”
娃娃笑了,河南,2024-09-04 11:07:40,雷军 我是雷人 这关系是不是 我不要车就要你这身行头
💞୧⍤⃝安子安子大安子💞,山东,2024-08-31 18:52:58,注意安全爸
夕余徐,安徽,2024-07-23 07:59:37,军儿，你已经用了这这照片当头像，我一定买个su7，大家等我消息[还得是我][还得是我][还得是我]
一杯甜咖啡,江苏,2024-09-01 10:46:47,会了，什么时候发小米苏7
IKUN,甘肃,2024-09-01 15:39:48,哇，原来这就是小米苏七不知雷总可否送我一辆
星尘！,重庆,2024-09-04 22:34:23,我是小米的🐶[看]
帕杰罗,河南,2024-07-22 15:33:31,雷总你用这个当头像，我就买一辆小米苏七
马哥,河北,2024-08-30 14:27:19,轮胎能受得了吗？
o77v,贵州,2024-07-22 18:38:07,爸！吃晚饭了没
顾顾.,四川,2024-07-22 15:48:39,中国有陆军、有海军、有空军、雷军
小米空调官方旗舰店,河南,2024-07-22 18:53:08,我觉得我们应该增加轮胎业务了[疑问]
煎鱼不吃鱼,广东,2024-07-26 23:14:05,雷总，这是我给小折设计的壁纸，你看可以吗？
钱西美,安徽,2024-07-22 14:53:59,爸
╰_╯,陕西,2024-07-22 14:00:18,雷总，要不把这个照片当头像吧！我觉得挺帅的[发呆]
💦行尽江南💦,山东,2024-07-22 12:50:48,军，姐我也想学漂移[做鬼脸]
s...,广东,2024-07-22 12:11:08,最适合新手漂移的车
金城小栗子,甘肃,2024-07-22 17:29:38,雷总，随着生活的日益提高，对于健康有了进一步的要求，自行车运动市场前景开阔，但自行车市场因技术问题，一直被国外企业牵头，国内生产商由于竞争热烈，只能通过价格战来降低品牌形象，从而使自行车中高端市场一直在国外品牌主导，希望雷总可以改变现状，入军自行车市场，把自行车市场的导向留在国内[比心][比心][比心][比心][玫瑰][玫瑰][玫瑰][玫瑰]
落Θ余辉,广东,2024-07-22 21:53:46,雷总如果你用这个当头像，你就给我买一辆小米su7
小豆包吖,浙江,2024-07-23 16:00:37,雷总，什么时候上映
L7L,广东,2024-07-22 16:33:31,这人为什么老是接小米的广告？
我不熬夜啦,湖北,2024-08-28 00:11:47,@c1ty @♾️ @从前从前... @兜里没钱先生 @......... @Xinghe. @庄子帮你解梦. @🌈iii @今天吃什么呢. @ғᴏʀɢᴏᴏᴅ @繆岚眧 我正在飘[呲牙][呲牙][呲牙]
追风日落.,广东,2024-07-22 12:14:42,爸爸，我学会了，谢谢爸爸[舔屏]
季季红,河北,2024-08-23 20:33:49,主播主播小米公司得给你多少广告费
梨不冻,湖北,2024-08-20 19:55:01,@冻梨 求得小米su7教程[捂脸]
广积粮，缓称王,四川,2024-08-28 14:27:23,能不能给我玩一下？[抠鼻][抠鼻][抠鼻]
不爱米饭（失恋版）,广东,2024-07-26 22:43:35,雷总[宕机]，如果你用这个照片当头像，我就买一辆小米su7
润中,浙江,2024-07-22 15:55:01,军 换这个当头像的话！我就买一辆玩[送心]
青椒鱼🐟（登船四次818）,安徽,2024-07-22 12:32:10,爸
秋水仙素,江苏,2024-07-22 16:50:55,雷总能给小爱升级一下吗[流泪]
米菓儿,上海,2024-07-22 14:40:53,雷哥 要不把这个照片 当头像吧 ！我觉得挺帅的[比心]
我的~,广东,2024-07-22 14:03:47,祝雷总年入百万！
🌈睡醒再吃🍔,山东,2024-07-22 12:25:20,虽然真的很帅，但是我买的小米11ultar一年零三个月就坏了，刚刚过保三个月，就cpu烧了，啥资料也没了，就退出米圈了[流泪][流泪]
小*星,广东,2024-07-22 23:23:09,雷总你这安全帽卖吗？正好我买了台电动雅迪
琴娃,浙江,2024-07-22 12:08:26,这张巨帅，什么时候换头像啊[呲牙]
时一心动了,陕西,2024-07-22 18:16:32,三年后的小米[666][666][666]
吗喽儿,广东,2024-07-22 13:33:32,切记  雷军也是军[微笑][OK]
别看我,广东,2024-07-22 12:41:05,可以上映了雷总发
🌈佛山女圭解忧馆,广东,2024-08-29 17:10:39,家父小心身体
狗狗祟祟皮二狗,湖北,2024-07-22 12:20:16,雷总 小米卫生巾
无意,山西,2024-09-03 14:36:38,[666][666][666]
一点......,四川,2024-08-31 18:43:06,绝了[色][色][色]
用户1148630567780,广东,2024-08-31 19:18:05,[666][666][666]
无言以说,辽宁,2024-08-20 22:23:38,@￡9.15 ！想看你飘一个。
跟着金港玩车Vlog,北京,2024-09-03 00:58:58,好熟悉的场地
启星晓,广东,2024-08-26 01:53:55,@残零 冷知识：雷军真的有赛车驾照
94951202879,广东,2024-07-22 16:53:02,雷总，如果你用这个照片当头像，我就买一辆小米su7[OK][呲牙]
蓝桉呀,浙江,2024-07-22 12:07:04,爸，别太辛苦，睡个午觉
——西biu,福建,2024-07-22 18:44:47,军哥进军卫生巾界！！！！
"后来,",湖南,2024-07-22 15:17:17,爸，小心点
重生之我是你姐姐,广东,2024-07-22 15:30:45,爸！[呲牙]
逍遥快活王,广东,2024-08-04 09:50:33,请问雷总，我买的这个小米空调开到16度最大风速，开一整晚显示室内温度还是28度怎么回事？热的都睡不着觉，28度估计是出风口的温度，房间实际温度肯定更高。这么明显的问题你们的售后客服却硬是说检测没问题，不退不换，请问雷总你们就是这样卖空调的吗？这个空调在三楼，二楼相同户型也是装的小米空调1.5匹，那个没有任何问题，这个降不了温你们的人硬是睁眼说瞎话检测没问题。希望你们不要删除评论拉黑我，否则我把这个截图发到所有能发到的平台上，并且直播你们的空调效果。
宝儿宝儿,广东,2024-07-22 12:35:33,世500强老总居然免费教我漂移，我想学个科目二都还得交几千
我奶常扇罩子龙🌈,广东,2024-07-24 14:02:42,我试了
腩尾,广东,2024-07-22 23:14:49,雷总，如果你换这个图像，就给我送一台小米su7
压力副会长,河南,2024-07-22 15:12:38,祝雷总年入百万[赞][赞][赞]
ff,广东,2024-07-22 12:12:53,爸，换这个头像
姜英俊小名是咪宝,浙江,2024-08-29 08:29:23,爸爸居然在线教学 好有耐心
北方汽修李老师,浙江,2024-07-22 18:40:51,"你赔我
[泪奔][泪奔]"
ᯤ.,河南,2024-07-22 14:17:49,雷总，我正在攒钱
王店—张华鹏,广东,2024-07-22 15:15:55,刚试了下，窗户没关，把老婆已经甩出去了。
藤原-拓海,广东,2024-07-22 12:15:23,雷总，你的头发好柔顺，用的是什么洗发水[泣不成声]
甜甜爆爆,河南,2024-07-22 15:03:09,飞驰人生3——主演：雷军[鼓掌][鼓掌]
攒钱买小米su7,安徽,2024-08-29 14:24:11,[玫瑰]
天涯海角,广东,2024-08-29 07:54:28,[赞]
奥利安费allin,北京,2024-08-30 20:41:46,[666][666][666]
清风🍶酒香,广东,2024-07-22 15:34:15,一看就会，等我考过！高低整一辆。[流泪][流泪]
大道不孤,山东,2024-07-22 17:58:54,军，如果你用这个照片当头像，我就买一辆小米su7[OK]
O M,福建,2024-07-22 12:43:53,雷总，小米赛车都有了，那小米电动车也不远了吧[流泪][流泪][流泪][流泪]
小插曲,湖北,2024-07-22 12:14:10,爸
老乡，往哪走,广西,2024-07-22 12:11:40,爸爸，吃中午饭了吗？
锋哥哥,广东,2024-07-22 12:59:54,爸，吃饭了没[不失礼貌的微笑]
随性,广东,2024-07-22 20:38:18,爸 小心点[泣不成声]
是大禹吖,上海,2024-07-22 21:00:19,雷总我是你忠实粉丝，祝你年收入50万😎😎😎
网恋秀牛被挂国产,江苏,2024-07-22 17:50:02,赌上最后一次
梦开始的地方,福建,2024-07-22 14:49:55,雷总，要不把这个照片当头像吧我觉得挺帅的[呲牙][呲牙]
时间嘉许,湖北,2024-07-22 18:56:45,爸，您吃了吗？
吕先森,湖北,2024-07-22 13:04:20,雷总你这现在混的可以啊都接上小米的代言了，加油你是最棒的[九转大肠]
许多多,四川,2024-07-22 13:17:57,雷总，我想要这个[微笑]
千秋念,广西,2024-07-22 17:43:07,祝雷总年入百万[害羞][害羞][害羞]
余小二,广东,2024-08-29 06:54:32,你用这个当头像，我就考虑买一个[OK]
北极熊,河南,2024-07-22 14:33:57,军儿，收手吧！你都成我偶像了
Alie~ ,广东,2024-08-28 11:31:49,雷总，SU7的高配能不能自选配车顶的智能头啊[暗中观察]，好像个银角大王和金角大王[泣不成声]
brz,河南,2024-07-22 17:34:32,
在做事业,广东,2024-08-29 06:17:35,霸气中的战斗机
快乐的小笼包.,吉林,2024-07-22 12:54:56,还知道拉赞助商
巧儿阿姨🍓,广东,2024-07-23 10:21:19,请问各位[感谢]，  有啥靠谱的方法能从136斤瘦到107斤啊[我想静静][我想静静][绝望的凝视]
你是我唯一,福建,2024-08-09 21:04:34,@雷军 这个怎么打方向盘?
熬夜伤魏零食小卖铺,广西,2024-07-22 21:21:37,雷神，如果你用这个照片当头像，我就买一辆小米su7[OK][OK]
福到了,安徽,2024-07-22 15:42:36,雷总真听劝啊[撇嘴]
饭饭饭,福建,2024-07-22 20:22:18,想来一把已读乱回  你们那热不热啊[快哭了][快哭了]
王仔小馒头,江西,2024-07-22 23:30:21,雷叔，能帮忙把卫生巾价格打下来不？现在好多劣质的和高价的，贫穷大学生买不起了[泣不成声]
芥末丝儿,北京,2024-07-22 12:27:18,雷总，锁单了不能改配这个很不合理，用户反馈里面90%的人都在投诉这个事，但是目前依然没有解决办法，客户前一秒锁单，后一秒想改配置都不行，毕竟二三十万的车，哪怕加收服务费改配置我们也觉得值啊，至少不留遗憾！！希望雷总能高度重视下这个事！！
晚月芜春,河北,2024-07-22 12:29:07,爸！！！！
🌸🥀,四川,2024-07-22 20:03:43,若干年后的小米
清心,安徽,2024-07-22 13:19:49,准备了这么多年，终于可以上场了[机智][机智]
小俊,江西,2024-07-22 23:07:03,
七安,重庆,2024-07-22 15:06:52,一不小心漂过头了[不失礼貌的微笑]
阿发的岳父,浙江,2024-07-22 12:10:16,雷总，明天可以提车了
细雨.,安徽,2024-07-22 12:15:01,雷总祝您年入百万[呲牙]
程序设计全科代制作,重庆,2024-07-22 12:11:00,雷总，要不把这个照片当头像吧我觉得挺帅的[流泪]，同时恭喜你接到了小米的广告
别等,广东,2024-07-22 14:07:43,祝雷总年入百万
不喜欢番茄没有酱（备孕失败已绝育）,河北,2024-07-22 12:16:20,祝雷总干翻保时捷。[耶]
心花怒放,河南,2024-08-28 08:39:59,雷总，你当我飘移教练，我学会了就买一辆su7!
doll,山西,2024-08-20 22:43:24,@旺仔. 笑不活了[捂脸]
@“ ʚ Y ɞ ”,福建,2024-08-28 09:13:15,[捂脸][捂脸][捂脸]
Marko,广东,2024-07-22 19:13:37,军儿，如果你用这个照片当头像，我就买10辆小米su7[OK]
惠多多美食,安徽,2024-07-22 19:46:47,想来一把已读乱回  你们那热不热啊[微笑][微笑][微笑][微笑][微笑]
星星⭐,福建,2024-07-22 15:36:03,小米能招到雷军这样的员工也是小米的福气。[流泪]
We,江西,2024-07-22 16:16:21,雷总 什么时候上映
娴娴,广东,2024-07-23 12:32:15,问一句：小米烧油还是烧电？咋的冒烟了[看]
୧⍢⃝୨,安徽,2024-07-22 12:06:35,爸
zkj,新疆,2024-07-22 18:42:16,雷冖，你车我先开走了[比心][比心]
黄老邪吊锅烧烤,湖北,2024-07-22 12:35:37,军，姐我也想学漂移[做鬼脸]
钮钴禄橘,广东,2024-07-22 18:38:41,好好好，开始接广告了吗 ？那不得年薪百万了[微笑][微笑][微笑]
“崩”出地球🌏,江西,2024-07-22 12:07:13,雷总，想要这件衣服[流泪][流泪][流泪]
早起的虫儿被鸟吃,河南,2024-07-22 14:06:32,雷总雷总，这是真的吗?[捂脸]
你的豆豆,广东,2024-07-22 12:08:49,雷总要不把这个照片当头像吧我觉得挺帅的[流泪]
菲律宾美发：京世SALON 杰,菲律宾,2024-07-22 14:30:06,祝 雷总 年入百万
爱睡大觉,江苏,2024-07-22 12:08:01,完了 雷总发际线后移了[发呆][发呆][发呆]
xyx,上海,2024-08-21 11:12:52,@我还是那个毛毛呀 不愧是雷总[赞]
北风✿吹,福建,2024-08-28 03:05:39,他刚开始教你们买车，现在又教你们漂移，车漂坏了在找他买[捂脸]
巧睿智,江苏,2024-07-22 17:35:48,"@✨大和撫子 @西红柿的头号公敌 @,,, @凡🍒 @Tloml. @快乐薯饼 @＿易煙Yian＿ 想看谁能飘一个"
Sunrise🎞️📷,海南,2024-08-28 07:55:35,@小岛拍机的冤种 雷总拉红了[流泪]
祖QUEEN🌻,河南,2024-08-23 21:14:59,@你好哇 我喜欢这个男人！
仙女集,山东,2024-07-23 11:52:25,军儿，如果你用这个照片当头像，你就给我买一辆小米su7[OK]
萍萍吖,广西,2024-07-22 19:01:38,谢谢雷总，我今天刚提的劳斯莱斯-幻影，也不错[看][暗中观察]
风清扬~独孤九剑,浙江,2024-07-22 15:35:36,雷老板，你换这个头像，我就买一辆小米SU7，顺便我下周一到小米集团上班报到！
林小七,广西,2024-07-22 15:29:13,雷总，你的妹妹，雷苏妻[看]
毛小丢丢儿,江苏,2024-07-22 19:53:01,军，车上的空调交给姐行不行？行不行，军，你说句话！
woo kim  Tseng,广东,2024-07-22 14:18:22,雷总，什么时候上映
母猪皇后666,江苏,2024-07-22 12:39:40,爸
八个糖,江苏,2024-07-22 14:07:56,爹地，小米卫生巾，算我求你[逞强落泪]
所念皆所得,山东,2024-07-22 21:17:49,爸爸，吃饭了没？
阿心❤,陕西,2024-07-22 13:15:46,雷总，能不能发明个啥，能让高速路段有个警示，好比突然全部高速警示灯报警，或者啥的，看到那高速断了，车下去，好伤心的，我想向雷总许愿[尬笑]
江西分歌,广东,2024-07-23 22:40:11,雷总需要秘书吗
0809,山东,2024-07-22 14:16:36,雷总能不能研发女生的卫生巾啊，我看见女生都说贵而且不卫生，把卫生巾价格打下来，因为这是必需品
快 乐,重庆,2024-07-22 15:35:07,气度倒是不错，就是车贵了点。[九转大肠][九转大肠][九转大肠]
💦行尽江南💦,山东,2024-07-22 16:40:16,军，姐我也想学漂移[做鬼脸]
音乐人马辉,河南,2024-07-22 14:42:58,雷总，要不把这个照片当头像吧，我觉得挺帅的[得意]
吃土豆长大的马铃薯˙,江西,2024-07-22 21:09:46,多年后的小米
亚红爱生活,江苏,2024-07-22 19:28:19,雷总能不能做一个人体工学椅，市面上好点的太贵了[舔屏][比心]
隐官陈平安,北京,2024-08-04 10:07:25,雷总啥时候开发小米酥妻，就像马斯克的猫女一样，我全远达实名预购@贝尔湖的雪
车欣赏优盘,广东,2024-08-26 15:47:01,[呲牙]千万别用量产车试玩[看]
🌈devil,广东,2024-07-22 13:37:49,技术学会了雷总，就差su7了[看][看][看]
廉大大,广东,2024-07-23 13:44:56,雷叔，听说你没儿子，如果您不嫌弃，我可以给您养老[九转大肠]
小小爱种草,江西,2024-07-22 16:23:36,军儿，如果你用这个照片当头像，我就买一辆小米su7[OK]
许多多,四川,2024-07-22 13:35:21,雷冖，你的车我开走了[愉快][我想静静]
喜怒哀乐不言于表、,重庆,2024-07-22 12:34:49,雷总，我只有四万块、怎么买小米。
Andy888,山东,2024-07-22 17:07:59,军 你用这个当头像，我就在给你投两个亿
阿巴阿巴😦😦😦,江苏,2024-07-22 13:48:28,爸   注意身体啊
马诺Boy卡车司机送货,广东,2024-07-22 12:44:19,"女生们需要小米卫生巾
男生们需要小米香烟🚬
希望雷总赶紧开干
（一位忠实的米粉）[抱抱你][抱抱你][抱抱你]"
有錢💰財是《王道》,四川,2024-07-22 21:57:19,雷总，我祝你月入百万[比心][比心][比心]
山复尔尔,广东,2024-07-22 14:04:03,爸
麻辣狮子头,福建,2024-07-22 20:46:20,今天看到的小米酥7 很喜欢 想买
朴宰范女朋友,新疆,2024-07-22 19:19:47,雷总，卫生巾太贵了，出一个小米卫生巾吧[流泪]
治好也流口水ԅ(¯﹃¯ԅ),福建,2024-07-22 20:02:01,雷总您换这个头像我就让您给我买小米 su7
匆匆又夏天❤️,重庆,2024-07-22 14:45:27,祝雷总年入百万！
安恬宝藏屋😘,贵州,2024-07-22 14:25:41,雷总，什么时候上映
將東…,云南,2024-07-22 14:51:18,祝雷总月入十万[撒花][撒花][鼓掌]
Shmily.,内蒙古,2024-07-22 17:25:58,雷总能不能优化一下澎湃[泣不成声]
从来没有怀疑过自己的才华，运气差点而已,广西,2024-08-20 20:11:50,学废了，落田里啦
彦南,云南,2024-08-30 18:15:54,[捂脸][捂脸][捂脸]
梅花怒放,甘肃,2024-08-30 18:12:32,全碳头盔
环市东炒家,广东,2024-08-31 13:57:13,哥
倾心,河南,2024-07-22 20:04:40,雷总，如果你用这个照片当头像，我就买一辆小米su7[OK]
黑丶,四川,2024-07-22 13:57:18,感谢雷总的教学   我知道是我的车不对
天津高哥玩音响,天津,2024-07-22 16:47:18,雷总，你换这个照片当头像的话！我就买一辆[看]
小韬🔥,广东,2024-07-22 18:21:28,军，你车装我家的格力空调吧
大兵哥🇨🇳,浙江,2024-07-22 12:19:52,雷总我只有10000块钱怎么买小米，求告知
Xlian,广东,2024-07-22 14:43:41,爸，开车注意安全[送心][送心][送心]
赵温豪,山东,2024-07-22 19:38:26,10块吧雷总。我买一辆
荆棵吃秦娃,湖南,2024-07-22 12:30:34,贵公司能不能研发一个小米卫生巾[流泪][色]
智慧的小唐,上海,2024-07-22 12:56:01,雷总，今年的工作实在不好找呀，生活真的太难了[捂脸]
天剑,广东,2024-07-22 18:46:59,各位看到了没有，他终究还是带货了，带了小米品牌的衣服、手套、还有头盔[微笑][微笑]
